  //PID root locus
  Kp = 0.00816x10;
  Kd = 0.205x10;
  Ki = 0.000033x10;
Sampling every 200 ms
Sample Number,Current Temperature, Controller Output
954,137.50,5.48
955,137.50,4.12
956,137.40,2.75
957,137.40,5.48
958,137.30,2.74
959,137.30,4.11
960,137.30,4.12
961,137.30,4.12
962,137.30,4.12
963,137.40,4.13
964,137.40,4.13
965,137.30,2.76
966,137.30,5.50
967,137.20,2.76
968,137.30,5.50
969,137.20,2.76
970,137.20,4.13
971,137.30,5.51
972,137.10,2.76
973,137.20,5.51
974,137.20,4.14
975,137.20,4.15
976,137.20,4.15
977,137.10,2.77
978,137.10,4.14
979,137.10,4.15
980,137.10,4.15
981,137.00,2.78
982,137.00,4.15
983,137.10,5.52
984,137.00,4.15
985,137.10,5.53
986,136.90,1.41
987,137.00,5.52
988,136.90,2.79
989,136.90,4.15
990,136.90,4.16
991,137.00,5.53
992,136.80,1.42
993,136.90,4.16
994,136.90,4.17
995,136.90,4.17
996,136.90,5.54
997,136.90,4.17
998,136.90,4.18
999,136.80,5.54
1000,136.70,2.80
1001,136.80,5.54
1002,136.60,1.43
1003,136.70,5.54
1004,136.70,4.17
1005,136.70,4.18
1006,136.70,4.18
1007,136.60,2.81
1008,136.60,4.18
1009,136.50,2.80
1010,136.70,6.92
1011,136.60,5.55
1012,136.50,2.81
1013,136.60,5.55
1014,136.60,5.56
1015,136.50,2.82
1016,136.50,4.19
1017,136.40,4.18
1018,136.40,4.18
1019,136.40,4.19
1020,136.40,4.19
1021,136.40,4.19
1022,136.20,1.44
1023,136.30,5.55
1024,136.20,2.82
1025,136.20,4.18
1026,136.20,4.19
1027,136.10,1.45
1028,136.10,4.18
1029,136.10,4.19
1030,136.10,4.19
1031,136.10,4.19
1032,136.00,4.19
1033,136.00,4.19
1034,136.00,4.19
1035,136.00,4.19
1036,136.00,5.56
1037,135.90,2.82
1038,135.90,4.19
1039,135.80,4.18
1040,135.90,5.56
1041,135.80,2.82
1042,135.90,5.57
1043,135.80,2.83
1044,135.70,2.82
1045,135.80,4.20
1046,135.80,4.20
1047,135.80,4.20
1048,135.80,5.57
1049,135.70,2.83
1050,135.70,4.20
1051,135.60,2.83
1052,135.60,4.20
1053,135.60,4.20
1054,135.60,5.57
1055,135.60,4.21
1056,135.50,2.83
1057,135.50,4.20
1058,135.50,4.20
1059,135.50,4.21
1060,135.50,5.58
1061,135.30,1.46
1062,135.40,5.57
1063,135.40,2.84
1064,135.30,2.84
1065,135.40,5.58
1066,135.30,4.21
1067,135.40,5.58
1068,135.40,4.22
1069,135.20,2.84
1070,135.20,4.21
1071,135.20,4.21
1072,135.30,4.22
1073,135.20,2.85
1074,135.20,4.22
1075,135.20,2.85
1076,135.20,4.22
1077,135.20,4.22
1078,135.10,5.59
1079,135.10,4.22
1080,135.10,4.22
1081,135.00,2.85
1082,135.00,4.22
1083,135.00,4.22
1084,135.00,4.22
1085,135.00,4.23
1086,134.90,2.85
1087,135.00,6.96
1088,135.00,4.23
1089,135.00,4.24
1090,134.90,4.23
1091,135.00,5.61
1092,134.80,1.49
1093,134.80,4.23
1094,134.70,2.86
1095,134.70,4.22
1096,134.70,4.23
1097,134.70,4.23
1098,134.70,4.23
1099,134.70,4.23
1100,134.60,2.86
1101,134.50,2.86
1102,134.60,2.87
1103,134.60,4.24
1104,134.60,4.24
1105,134.50,4.23
1106,134.50,4.23
1107,134.40,2.86
1108,134.50,4.24
1109,134.50,4.24
1110,134.50,4.24
1111,134.40,4.24
1112,134.30,2.86
1113,134.30,4.23
1114,134.20,2.86
1115,134.20,4.23
1116,134.20,4.23
1117,134.20,4.23
1118,134.20,4.24
1119,134.20,4.24
1120,134.10,4.23
1121,134.10,4.24
1122,134.10,4.24
1123,134.10,2.87
1124,134.00,2.87
1125,134.00,4.24
1126,134.00,4.24
1127,133.90,2.87
1128,134.00,5.61
1129,133.90,2.87
1130,134.00,5.61
1131,133.90,2.87
1132,133.90,4.24
1133,133.90,4.25
1134,133.90,4.25
